symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
PDCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE10A,1,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,2,0,4,0,0,0,1,0
PDE1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE1C,12,0,8,0,0,3,0,1,3,0,0,0,0,0,0,4,1,0,0,0,0,0,7,0
PDE3A,22,0,3,1,0,0,1,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
PDE3B,1,3,0,0,1,1,0,0,4,0,3,1,0,0,1,0,1,1,0,3,0,0,4,7
PDE4A,1,9,4,3,9,3,3,5,2,1,3,3,1,0,1,3,1,2,3,4,2,0,2,0
PDE4B,15,0,0,9,17,1,0,0,4,0,0,3,0,0,0,1,0,10,1,0,0,0,2,0
PDE4C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE4D,3,6,1,13,0,0,2,1,10,0,10,3,1,0,3,1,0,1,1,9,0,0,0,1
PDGFA,0,0,1,3,7,15,10,9,1,11,3,0,2,2,3,14,1,2,7,27,7,2,11,4
PDGFB,0,0,0,3,6,3,1,0,0,20,0,0,0,5,0,1,5,0,4,5,3,9,0,2
PDGFC,1,0,0,0,5,0,1,2,1,18,1,5,0,13,0,11,18,0,4,0,0,2,1,0
PDGFD,4,7,1,0,0,0,0,1,0,3,0,0,2,2,0,0,0,1,3,0,0,0,1,0
PDGFRA,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,3,0,0,0,0,0
PDHB,17,29,35,20,9,21,17,17,19,16,21,18,14,16,9,29,13,20,13,12,6,38,21,43
PDK1,4,3,1,0,1,4,2,3,1,2,1,2,0,0,4,4,1,3,2,3,1,0,4,3
PDPK1,3,3,4,2,6,6,5,6,3,4,3,3,5,3,5,3,4,3,3,7,8,10,2,4
PERP,38,0,15,51,51,30,49,24,43,186,63,11,59,57,26,10,36,26,83,74,122,23,57,19
PF4V1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PFKFB2,1,1,3,2,3,2,5,3,0,6,4,2,2,5,5,2,4,5,2,4,7,6,2,3
PFKFB3,31,12,33,6,9,25,9,9,9,6,10,23,0,5,13,58,26,23,7,10,9,92,22,5
PFKFB4,9,7,20,1,2,34,1,1,0,2,0,0,0,1,1,6,1,20,2,1,1,3,46,4
PFKL,19,17,9,6,10,19,16,14,19,16,20,11,22,17,10,26,25,23,27,8,21,27,16,20
PFKM,21,34,21,15,16,22,18,16,38,6,12,12,9,15,30,17,2,21,13,16,14,19,36,33
PFKP,48,13,38,37,31,51,24,54,79,48,75,71,32,4,22,64,110,121,53,22,35,23,30,11
PFN1,494,567,408,266,250,445,343,525,466,463,369,672,548,157,206,360,341,436,287,400,112,177,315,103
PFN2,76,74,60,56,48,92,20,22,77,66,44,38,33,94,20,93,99,51,82,23,11,26,56,33
PFN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFN4,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,1,0,0
PGAM5,21,27,22,21,21,16,37,12,36,16,18,32,22,12,23,8,15,13,9,30,16,22,16,27
PGF,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
PGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
PHKB,5,3,3,3,4,3,6,4,11,12,9,2,6,3,2,7,8,2,5,6,4,6,2,6
PHKG1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
