symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
FAM212B,-1,-1,0,1,0,-1,0,0,0,-1,1,1,0,1,0,0,0,1,1,0,-1,1,0,-1,1,1,-1,1,0,1,2,1,-1,0,0,0,0,-1,1,-1,1,-1
FAM213A,0,0,1,0,1,0,0,0,0,1,1,-1,0,1,0,0,-1,0,0,0,1,1,1,1,0,2,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,0,-2,-1,-1
FAM213B,-1,-1,-1,1,-1,-1,-1,-1,2,-1,0,1,0,1,-1,-1,-1,-1,-1,1,-1,1,2,-1,-1,1,1,1,0,1,-1,2,-1,0,0,0,-1,-1,0,0,0,-1
FAM214A,0,1,0,-1,0,1,1,0,0,-1,-1,-1,0,0,0,0,2,-1,-1,0,1,0,0,-1,-1,-1,2,0,0,1,0,-1,0,0,-1,0,0,0,1,1,0,-2
FAM214B,0,0,-1,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,2,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,1,-1,2,1,0,-1,-1,1,-1,-1,-1
FAM215A,1,1,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,0,0,1,-1,0,-1,1,1,0,0,-1
FAM216A,-1,0,1,-1,1,0,-1,0,0,-1,0,-1,0,0,1,1,-1,0,-1,1,1,-1,0,-1,1,1,0,-1,0,0,-1,0,1,0,-1,0,0,1,-1,2,0,1
FAM216B,-1,-1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-2,0,-1,-1,0,1,-1,-1
FAM217A,-1,-1,0,1,-1,0,-1,0,0,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,1,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,-1,-1
FAM217B,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,2,1,0,2,1,1,1,1,1,1,0,1,0,1,1,2,1,0,1,1,1,1,1,1,1,1
FAM218A,0,-1,0,-1,0,-2,-2,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,0
FAM219A,0,0,-1,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,2,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,1,-1,2,1,0,-1,-1,1,-1,-1,-1
FAM219B,-1,1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,0,0,-1,-1,0,0,-1,1,-1,-1,-2
FAM220A,1,0,2,1,1,1,2,0,0,1,2,1,1,0,0,0,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1
FAM221A,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,-1,0,1,1,1,1,0,-1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1
FAM221B,0,0,-1,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,2,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,1,-1,2,1,0,-1,-1,1,-1,-1,-1
FAM222A,-1,0,1,-1,1,0,-1,0,0,-1,0,-1,0,0,1,1,0,0,-1,1,1,-1,0,-1,1,1,0,-1,0,0,-1,0,1,0,-1,0,0,1,-1,2,0,1
FAM222B,0,1,1,-1,0,0,-1,0,0,1,0,-1,0,1,0,1,-1,0,-1,0,1,-1,1,-1,-1,-1,0,1,1,0,-1,0,0,2,-1,0,0,1,1,0,0,-1
FAM225A,1,-1,0,1,0,0,-1,-1,0,-1,-1,-1,0,0,0,1,-1,0,-1,-1,1,0,-1,-1,1,0,-1,0,0,1,-1,0,0,0,1,0,-1,1,1,-1,-1,-1
FAM225B,1,-1,0,1,0,0,-1,-1,0,-1,-1,-1,0,0,0,1,-1,0,-1,-1,1,0,-1,-1,1,0,-1,0,0,1,-1,0,0,0,1,0,-1,1,1,-1,-1,-1
FAM227B,0,-1,0,-1,0,1,1,0,0,-1,-1,-1,0,0,0,0,2,-1,-1,0,1,0,0,-1,-1,-1,2,0,-1,1,0,-1,0,0,-1,0,0,0,1,1,0,-2
FAM228A,1,1,1,-1,0,0,-1,0,0,1,0,1,0,0,0,1,-1,-1,1,1,1,1,0,0,-1,0,0,1,0,1,0,1,1,-1,-1,0,1,-1,0,0,1,-1
FAM229B,-1,-1,0,1,-1,-1,0,0,2,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,0,0,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,0,1,-1,0,-1,-1,-1
FAM234A,-1,-1,1,-1,-1,-1,-1,-2,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,1
