symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ACKR4,0,0,0,1,0,1,0,0,-1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0
ACLY,0,0,-1,-1,0,0,0,-1,1,-1,1,0,1,-1,0,-1,1,-1,1,-1,0,1,0,-1
ACMSD,0,0,-1,1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,0,-1,0,0,-1,1,0
ACO1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,1
ACO2,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0
ACOT1,0,0,-1,-2,0,0,0,-1,-2,-2,-1,0,0,1,0,-1,2,-1,-2,0,0,1,0,0
ACOT2,0,0,-1,-1,0,0,0,-1,1,0,-1,0,0,1,0,-1,2,-1,1,0,0,1,0,0
ACOT4,0,0,-1,-1,0,0,0,-1,1,0,-1,0,0,1,0,-1,2,-1,1,0,0,1,0,0
ACOT6,0,0,-1,-1,0,0,0,-1,1,0,-1,0,0,1,0,-1,2,-1,1,0,0,1,0,0
ACOT7,0,0,0,2,-1,-1,0,-1,-1,0,-1,1,0,2,1,0,0,1,1,-1,0,-1,0,1
ACOT8,0,0,1,-1,-1,1,0,-1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
ACOT11,0,0,-1,2,-1,-1,0,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,-1,-1,0,0
ACOT12,0,0,1,1,0,1,1,-1,1,0,1,-1,0,0,0,-1,0,0,0,1,1,1,0,0
ACOT13,1,0,-1,2,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,1,-1,1
ACOX1,0,0,-1,0,1,0,0,-1,1,-1,0,0,0,0,1,-1,0,1,1,1,0,1,0,1
ACOX2,0,0,0,1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1
ACOX3,0,0,-1,-1,-1,-1,0,1,-2,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,0
ACOXL,0,0,-1,1,0,0,0,1,1,0,1,0,0,0,0,1,-1,0,-1,1,0,-1,1,0
ACP1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,-1,0,-2,0,0,-1,1,0
ACP2,0,0,0,2,0,-1,1,1,-1,0,-1,-1,1,1,0,-1,0,-1,1,1,0,1,-1,-1
ACP4,0,0,0,1,-1,0,0,-1,-1,1,1,-1,1,0,0,0,0,-1,1,-1,0,-1,0,1
ACP5,-2,0,1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,0,0
ACP6,0,1,1,1,0,-1,0,1,1,0,1,1,0,0,-2,-1,0,1,1,0,0,1,1,0
ACPP,0,0,0,1,0,1,0,0,-1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0
ACR,0,0,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1
ACRBP,0,0,0,2,0,0,1,1,-1,0,-1,1,1,-1,1,-1,-1,0,-1,1,0,-2,0,1
ACRV1,0,0,1,-1,0,-1,1,-1,-1,1,-1,-1,0,-1,0,1,-1,-1,-1,1,1,2,-1,1
ACSBG1,0,0,-1,1,-1,0,1,-2,1,0,1,0,0,-1,1,1,0,1,1,0,0,-1,-1,1
ACSBG2,0,0,-1,-1,-1,0,0,-1,-1,-1,-2,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1
ACSF2,0,0,0,2,1,0,0,-1,1,0,1,0,1,0,0,-1,0,0,1,0,0,1,0,1
ACSF3,0,0,-1,-1,1,-1,0,-1,0,-1,-1,0,0,-1,1,0,0,-1,0,-1,0,1,-1,-2
ACSL1,0,0,0,-2,-2,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,1
ACSL3,0,0,-1,-1,0,0,0,-1,1,0,1,0,0,0,0,1,0,0,1,0,0,-1,1,0
ACSL5,0,0,0,1,2,-1,0,1,1,0,0,0,0,1,0,-1,0,0,-1,0,0,-1,-1,0
ACSL6,0,0,-1,1,-1,0,1,-1,1,0,1,1,0,1,0,-1,-1,1,0,0,1,0,-1,0
ACSM1,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,-1
