gene_name,R1262106,R1287407,R1489314,R1531359,R1617674,R1687970,R1710143,R1822146,R2079629,R2111091,R2516394,R2575548,R2624931,R2678902,R2731324,R2731764,R2803490,R3408213,R3477250,R3535957,R3739042,R3740754,R3741788,R3757880,R3874626,R4119160,R4147686,R4276053,R4531942,R4917253,R5177066,R5211056,R5334541,R5369295,R5449861,R5546461,R5766881,R5965031,R6114572,R6132310,R6759986,R6847727,R6862468,R7025378,R7295303,R7738727,R7791442,R7876628,R7881801,R7959406,R8444624,R8457289,R8626395,R8704458,R8845676,R8937093,R9088015,R9286126,R9354381,R9489952,R9596785,R9680160,R9781891,R9936070
ADCY4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0729505,0.063983,0.044169,0.0347545,0.0736945,0.060877,0.064386,0.0595055,0.006615,0.04707,0.015529,0.0277425,0.0435495,0.062682,0.0070884999999999,0.0204395,0.050325,0.0563624999999999,0.026639,0.0442135,0.0720875,0.030937,0.042551,0.0267355,0.08556,0.0215785,0.047351,0.0321465,0.0384044999999999,0.0959225,0.0916975,0.016019,0.097921,0.021197,0.0409405,0.029636,0.0067565,0.0409455,0.0367415,0.0517175,0.0132395,0.069421,0.0868535,0.0052015,0.0090825,0.0408405,0.0644494999999999,0.033908,0.0404135,0.05953,0.0546885,0.0724549999999999,0.0371265,0.028372,0.0786215,0.022061,0.0440705,0.0789655,0.076961,0.03529,0.073383,0.0083715,0.072097,0.0227845
ADCY7,0.713139,0.696949,0.702014,0.743564,0.697981,0.725416,0.720756,0.761795,0.751378,0.737558,0.735206,0.72673,0.706021,0.692917,0.779801,0.769786,0.738637,0.781051,0.726072,0.735079,0.735654,0.736387,0.750972,0.70318,0.668274,0.69067,0.754092,0.782084,0.755796,0.703033,0.710486,0.771228,0.712783,0.743728,0.772644,0.74818,0.74407,0.698158,0.715388,0.757662,0.750684,0.685091,0.687555,0.748125,0.723264,0.739628,0.759209,0.681915,0.670394,0.769459,0.699328,0.719977,0.772066,0.754296,0.71764,0.721784,0.750504,0.643425,0.732948,0.76559,0.720475,0.725079,0.739161,0.782265
ADCY8,0.0638914999999999,0.048214,0.0588719999999999,0.0624315,0.0598405,0.0561305,0.0696355,0.0588884999999999,0.0514624999999999,0.0458805,0.0555735,0.05896,0.052969,0.0608995,0.0452485,0.031645,0.0470999999999999,0.0530515,0.068876,0.055657,0.0557665,0.0469205,0.060473,0.0578314999999999,0.067876,0.0361155,0.056949,0.0445665,0.051593,0.074934,0.0692175,0.033344,0.050349,0.0413754999999999,0.0511255,0.0606225,0.055732,0.055191,0.0536755,0.0516024999999999,0.038149,0.0571114999999999,0.0637965,0.039669,0.059913,0.0519815,0.068114,0.0550735,0.0691195,0.043155,0.053329,0.0638625,0.070898,0.0450335,0.059905,0.046915,0.060318,0.062932,0.07009,0.058391,0.0621555,0.056193,0.0736975,0.053363
ADCY9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1,0.0715023333333333,0.0534793333333333,0.06176,0.07478,0.086525,0.0652226666666666,0.1001786666666666,0.0792496666666666,0.0617386666666666,0.0689663333333333,0.0565723333333333,0.059639,0.073812,0.0841373333333333,0.055665,0.0694726666666666,0.058419,0.0695203333333333,0.050756,0.073517,0.062353,0.0507146666666666,0.0579583333333333,0.0531733333333333,0.0926856666666666,0.0541823333333333,0.0718626666666666,0.064317,0.05976,0.0775273333333333,0.0864616666666666,0.058035,0.0949,0.060134,0.0626253333333333,0.061371,0.0619833333333333,0.0755936666666666,0.0708326666666666,0.0576836666666666,0.0599333333333333,0.0771723333333333,0.0910906666666666,0.0579133333333333,0.056795,0.0677726666666666,0.081067,0.0643993333333333,0.0589663333333333,0.051822,0.063954,0.0768473333333333,0.063472,0.0659933333333333,0.084085,0.0612629999999999,0.0568836666666666,0.0872713333333333,0.072645,0.0588693333333333,0.074765,0.0717633333333333,0.072416,0.064347
ADCYAP1R1,0.845517,0.832492,0.849996,0.868303,0.854198,0.845457,0.832785,0.869337,0.842119,0.839359,0.829519,0.847551,0.879881,0.820804,0.902331,0.880085,0.865546,0.863903,0.858652,0.854234,0.844773,0.893785,0.845389,0.846058,0.828074,0.833264,0.846607,0.858236,0.880785,0.821746,0.829154,0.844318,0.829563,0.888079,0.866976,0.842079,0.853794,0.869756,0.862706,0.845499,0.841879,0.805495,0.821297,0.871878,0.860905,0.847463,0.838025,0.843835,0.839392,0.867477,0.859379,0.849322,0.853938,0.857542,0.835816,0.858008,0.848271,0.819851,0.810466,0.838907,0.828307,0.842226,0.850703,0.881129
ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ,0.857126,0.889709,0.891509,0.903054,0.893348,0.828761,0.890778,0.875914,0.855377,0.899478,0.87164,0.85037,0.870899,0.921918,0.887623,0.879345,0.864041,0.833204,0.869015,0.882624,0.867739,0.889025,0.906706,0.891525,0.825612,0.855524,0.881351,0.898272,0.877972,0.846971,0.874451,0.879413,0.857292,0.878598,0.86968,0.857767,0.889606,0.850148,0.879174,0.886412,0.90573,0.832203,0.903719,0.857376,0.898449,0.88985,0.87076,0.859229,0.842869,0.912567,0.871484,0.907986,0.854847,0.788618,0.870328,0.894022,0.826974,0.855163,0.846582,0.876669,0.872779,0.883701,0.84242,0.849214
