symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
RASGRP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
RASGRP4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASSF1,3,3,3,18,5,8,6,7,5,6,11,11,7,14,14,7,3,12,18,8,5,5,5,6,13,10,13,20,8,5,4,4,5,7,11,15,17,9,5,4,4,3
RASSF2,6,10,10,0,2,2,9,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,3,2,10,0,0,0,0,1,7,0,0,0,0,0,3,2,0,6
RASSF4,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,19,0,1,0,2,0,0,0,1,4,1,0,6,0,1,4
RASSF5,0,0,0,0,0,2,3,0,1,1,2,0,0,13,0,0,0,1,4,0,0,0,0,0,0,3,41,0,1,0,0,0,0,0,0,22,1,1,0,0,0,0
RBCK1,23,18,37,11,17,34,17,94,63,30,7,15,14,33,69,19,21,17,30,8,28,16,10,16,9,14,10,14,17,24,25,20,15,19,20,21,120,28,36,14,26,75
RBL2,10,7,15,9,8,9,10,12,19,13,7,4,4,12,10,12,5,3,12,5,5,9,6,4,8,4,12,4,13,3,13,5,6,13,5,12,17,10,19,5,5,23
RBPJ,4,5,6,8,6,7,6,19,11,9,12,10,11,7,7,5,5,25,7,8,5,7,8,6,8,6,4,6,10,6,11,6,7,7,9,6,10,4,10,7,7,8
RBPJL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBX1,18,14,16,20,18,11,19,8,12,18,14,21,17,16,28,12,14,19,23,16,14,14,9,17,26,17,25,22,21,16,44,35,20,21,21,21,16,16,8,20,26,12
RCAN1,11,3,3,22,8,6,7,2,1,5,3,13,1,4,3,38,0,5,64,7,2,2,3,12,2,5,2,7,9,18,10,14,6,7,28,1,3,20,123,30,27,8
