symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ETS1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,-2,0,0,0,1,-2,1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,1
ETS2,1,-1,0,0,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,0,1,0,1,0,0,0,-1,0,1,0,0,0,0,-1,-1,-1
EVC,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,0,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1
EVC2,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,0,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1
EVL,-1,0,-1,-1,-1,1,0,-1,0,0,-1,-1,0,-1,0,-1,1,0,-1,0,1,1,1,0,-1,1,-1,2,0,-1,0,-1,0,0,0,0,-1,1,-1,-1,0,-1
EXOC2,-1,-1,0,1,-1,0,-1,0,0,1,-1,1,-1,1,-1,1,1,1,1,2,-1,1,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,-1,-1
EXOC7,1,1,1,-1,1,0,1,1,0,1,1,-1,0,0,-1,1,-1,0,1,0,1,1,0,1,1,1,0,1,1,-1,1,0,1,0,-1,0,1,1,1,-1,0,-1
F2R,1,1,0,1,1,0,-1,0,0,1,0,-1,0,0,0,1,0,0,-1,-1,1,1,0,-1,1,-1,1,0,1,-1,0,1,0,0,0,1,1,1,1,-1,0,0
F3,-1,-1,0,1,-1,-1,1,0,0,-1,1,1,0,0,0,0,-1,1,1,0,-1,1,0,2,2,1,-1,1,0,1,1,0,-1,1,1,0,0,-1,1,1,-1,0
FABP3,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,1,0,1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,1,1,0,1,0,1,-1,0,0,0,-1,-1,1,1,0,-1
FADD,-1,0,0,-1,0,0,2,-1,0,1,1,1,0,0,0,1,1,1,1,2,-1,1,-1,0,1,1,1,1,-1,-1,2,-1,2,2,-1,0,1,1,-1,-1,-1,1
FADS2,-1,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,0,1,-1,0,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,-1,1
FARP2,-1,0,1,-1,0,-1,-2,0,0,0,-1,1,-1,-1,0,-1,-2,-1,-1,0,1,1,-1,-1,-1,0,-1,1,0,1,-1,1,-1,0,-1,0,0,-1,0,-1,1,-1
FAS,-1,0,1,0,1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,0,1,1,0,-1,-1,-1
FASN,0,1,1,-1,1,0,1,1,0,1,1,-1,0,0,-1,1,-1,0,-1,0,1,1,0,1,-1,1,0,1,1,1,1,0,2,0,-1,0,1,1,1,-1,0,-1
FAT4,0,-1,0,-1,0,-1,1,0,0,0,-1,-1,-1,0,0,-1,1,0,-1,0,0,0,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,1
FBP1,1,-1,0,1,-1,0,-1,0,0,-1,-1,-1,0,0,0,1,-1,0,0,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,0,0,1,0,0,-1,1,-1,-1,-1
FBXO25,-1,0,0,1,0,0,-1,0,0,-1,-1,1,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,1,0,-1,-2,0,0,0,0,-1,0,-1,1,0
FBXO32,1,0,0,1,1,1,0,2,0,1,1,2,1,0,1,2,2,1,-1,1,0,1,-1,-1,2,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1
FBXW11,1,0,0,1,1,-1,0,0,0,1,0,-1,0,0,0,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,-1,0,0,1,0,0,1,-1,-1,-1
