gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
ADCY4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0830675,0.027281,0.0813745,0.034898,0.030546,0.0309325,0.021953,0.029262,0.0246465,0.04191,0.082926,0.0607075,0.0285245,0.021718,0.027411,0.0606305,0.033402,0.0498145,0.0439945,0.070958,0.0600925,0.008212,0.051022,0.034918,0.0724995,0.078398,0.0622305,0.033255,0.0255715,0.059681,0.0055125,0.0479175,0.021387,0.058959,0.0088435,0.0651235,0.1019289999999999,0.0028595,0.074867,0.0292165,0.0215535,0.0496355,0.0148045,0.018596,0.0309405,0.0424275,0.0432515,0.0520975,0.002519,0.0323375,0.025423,0.0035225,0.055745,0.013417,0.0747225,0.0421105,0.04442,0.0194015,0.0297305,0.056627,0.039822,0.092936,0.0879995,0.063631
ADCY7,0.713137,0.685954,0.703294,0.705839,0.777281,0.768846,0.747803,0.68877,0.797773,0.690798,0.710883,0.717516,0.741504,0.773138,0.764354,0.674425,0.683365,0.789237,0.71825,0.721908,0.72319,0.757423,0.739064,0.727975,0.668498,0.758289,0.706053,0.710386,0.673709,0.783743,0.808059,0.741972,0.746776,0.755156,0.727251,0.708956,0.661756,0.736438,0.698766,0.740665,0.729157,0.704333,0.729047,0.739543,0.727021,0.725926,0.768659,0.699346,0.743333,0.70343,0.745818,0.719214,0.757809,0.761907,0.746308,0.681678,0.721686,0.71553,0.781791,0.845746,0.746393,0.73761,0.686185,0.728307
ADCY8,0.052816,0.048317,0.058423,0.0495005,0.0450384999999999,0.0415865,0.063181,0.065804,0.0591255,0.0655275,0.0695875,0.051386,0.0595185,0.052535,0.045839,0.054798,0.0646704999999999,0.039588,0.06172,0.0627075,0.066271,0.048778,0.0362345,0.057382,0.0704085,0.062611,0.06349,0.0479575,0.054164,0.0484065,0.0563544999999999,0.053935,0.048585,0.058714,0.0612524999999999,0.059574,0.265152,0.0577085,0.058136,0.0519275,0.0539105,0.052057,0.0468855,0.053514,0.0537765,0.0481475,0.049498,0.0605765,0.048028,0.056,0.060181,0.047242,0.051784,0.0626235,0.060529,0.061883,0.0502655,0.0659785,0.0782535,0.0420805,0.055123,0.0743564999999999,0.073911,0.050807
ADCY9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1,0.082468,0.0603503333333333,0.0754763333333333,0.056949,0.0641136666666666,0.0617283333333333,0.065329,0.058819,0.0449426666666666,0.068491,0.079857,0.071824,0.06978,0.057267,0.0481713333333333,0.085322,0.061593,0.0540016666666666,0.061098,0.088572,0.0740973333333333,0.0598473333333333,0.054724,0.073806,0.0814503333333333,0.077969,0.0698693333333333,0.0418473333333333,0.0775936666666666,0.0670696666666666,0.0668576666666666,0.0615026666666666,0.0595896666666666,0.0624743333333333,0.0497823333333333,0.074034,0.0897796666666666,0.0498716666666666,0.066943,0.0650673333333333,0.0605566666666666,0.0876076666666666,0.058755,0.0546863333333333,0.0504993333333333,0.072305,0.0696233333333333,0.0673583333333333,0.0542043333333333,0.054982,0.0465733333333333,0.0510546666666666,0.0563903333333333,0.0651576666666666,0.066576,0.0707163333333333,0.0544976666666666,0.068051,0.068693,0.0603099999999999,0.0570646666666666,0.0811496666666666,0.091119,0.064256
ADCYAP1R1,0.851594,0.837544,0.844491,0.843361,0.864545,0.866306,0.85045,0.813094,0.876283,0.845036,0.839077,0.842509,0.859751,0.895897,0.870196,0.833809,0.841078,0.845344,0.839239,0.826605,0.835909,0.877482,0.866278,0.860378,0.830123,0.857757,0.848374,0.835815,0.820668,0.835122,0.849643,0.867957,0.873146,0.854527,0.860427,0.827479,0.792015,0.86268,0.824666,0.845084,0.846498,0.844477,0.878227,0.883481,0.870616,0.816656,0.87304,0.833681,0.860011,0.871994,0.852283,0.853206,0.863604,0.847779,0.866757,0.840392,0.835473,0.826449,0.85246,0.867512,0.854545,0.848402,0.835824,0.83318
ADGRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ,0.859535,0.923481,0.861469,0.871205,0.878139,0.843563,0.865064,0.794789,0.865635,0.844835,0.895948,0.910154,0.834144,0.870992,0.886994,0.875089,0.858107,0.898126,0.874559,0.867932,0.864021,0.924027,0.874713,0.898608,0.872665,0.849146,0.887732,0.87035,0.823857,0.886074,0.867061,0.8894,0.902832,0.855464,0.887384,0.847787,0.869182,0.884669,0.858925,0.812557,0.847589,0.859762,0.848417,0.859179,0.885433,0.878918,0.868533,0.879362,0.857561,0.852781,0.855789,0.818504,0.890604,0.890243,0.881447,0.891153,0.863165,0.843061,0.897457,0.838296,0.908694,0.880659,0.875603,0.891726
