SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp34,0.017641678379913716,EKVX,7,42,,,
sp35,0.03371339290115478,EKVX,7,25,0.0232083704,7.0,17.0
sp36,0.039214440987994335,EKVX,7,16,,,
sp37,0.047788508267754,EKVX,7,11,0.5729274826,7.0,2.0
sp38,0.06386230120925925,EKVX,7,7,0.1149119204,7.0,11.0
sp39,0.037319947385288446,EKVX,7,19,,,
sp40,0.0615749300859813,EKVX,7,9,,,
sp41,0.016354723049618176,EKVX,7,44,0.00982202275,7.0,24.0
sp42,0.0632634526714655,EKVX,7,8,0.07495704279999994,7.0,12.0
sp43,0.04561460684407078,EKVX,7,12,,,
sp44,0.016068801614303015,EKVX,7,45,0.007830003286499986,7.0,26.0
sp45,0.017284021389906472,EKVX,7,43,0.006139745239999966,7.0,27.0
sp46,0.042503707920508185,EKVX,7,14,0.3514717618466667,7.0,8.0
sp47,0.03256353368263635,EKVX,7,26,0.1228447932113793,7.0,10.0
sp48,0.025716299466631565,EKVX,7,32,,,
sp1,0.024575254913578416,HCT-116,8,36,,,
sp2,0.024752037213572383,HCT-116,8,35,0.1333452980978969,8.0,11.0
sp3,0.032996445156315765,HCT-116,8,25,0.0257337513999999,8.0,21.0
sp4,0.02486365662050423,HCT-116,8,34,0.06740562648363636,8.0,16.0
sp5,0.14215073543043477,HCT-116,8,1,0.38786088499999993,8.0,6.0
sp6,0.03634471440358694,HCT-116,8,18,0.11043838144999997,8.0,12.0
sp7,0.035056168711374645,HCT-116,8,21,0.5000000226666667,8.0,3.0
sp8,0.014936356596462313,HCT-116,8,46,,,
sp9,0.04714487566975408,HCT-116,8,11,,,
sp10,0.03517448902085423,HCT-116,8,20,,,
sp11,0.07232088237160492,HCT-116,8,4,,,
sp12,0.03484896331201941,HCT-116,8,22,0.010315179113333317,8.0,28.0
sp13,0.03160232843812882,HCT-116,8,26,0.01602124932599999,8.0,25.0
sp14,0.09142358199618641,HCT-116,8,3,,,
sp15,0.025119789255053038,HCT-116,8,33,0.1030811133,8.0,13.0
sp16,0.027195701719862055,HCT-116,8,32,1.0,8.0,1.0
sp17,0.016898332487965448,HCT-116,8,43,0.00695026390999995,8.0,35.0
sp18,0.05562754039811319,HCT-116,8,9,,,
sp19,0.03457319371950449,HCT-116,8,23,0.1520360243,8.0,9.0
